gen,best_fitness,mean_fitness,std_fitness,total_cross,total_mut,mean_size,size_best_individual
0,34.4,3.47,106.30009999999997,0,0,,
1,40.3,17.639999999999997,346.46439999999996,3,4,,
2,32.0,12.88,243.72359999999998,5,7,,
3,36.5,32.86,119.24640000000002,8,8,,
4,32.4,22.7,219.54399999999995,11,13,,
5,31.9,15.959999999999999,254.08439999999996,14,17,,
6,43.8,30.670000000000005,402.26009999999985,16,19,,
7,30.5,15.279999999999998,231.64960000000002,17,22,,
8,35.6,21.36,304.16640000000007,20,26,,
9,41.3,24.79,408.8709,23,27,,
