gen,best_fitness,mean_fitness,std_fitness,total_cross,total_mut,mean_size,size_best_individual
0,1.2,0.14,0.12640000000000007,0,0,3.8,3
1,1.5,0.32999999999999996,0.3500999999999998,3,4,3.4,3
2,30.1,3.310000000000001,79.84489999999998,3,1,2.9,3
3,30.1,0.7200000000000001,0.1296,3,1,2.9,3
4,30.1,1.0999999999999999,4.930380657631324e-32,2,1,3.0,3
5,30.1,0.7000000000000001,1.232595164407831e-32,3,1,3.0,3
6,30.1,0.9000000000000001,1.232595164407831e-32,3,3,3.0,3
7,30.1,0.9000000000000001,1.232595164407831e-32,2,0,3.0,3
8,30.1,1.0999999999999999,4.930380657631324e-32,3,1,3.0,3
9,30.1,0.9000000000000001,1.232595164407831e-32,2,1,3.0,3
10,30.1,1.8000000000000003,4.930380657631324e-32,3,3,3.0,3
11,30.1,0.5999999999999999,1.232595164407831e-32,3,1,3.0,3
12,30.1,1.4000000000000001,4.930380657631324e-32,3,1,3.0,3
13,30.1,0.7000000000000001,1.232595164407831e-32,2,1,3.0,3
14,30.1,1.9,0.0,3,0,3.0,3
15,30.1,1.0,0.0,3,1,3.0,3
16,30.1,1.4000000000000001,4.930380657631324e-32,2,1,3.0,3
17,30.1,0.29999999999999993,3.0814879110195774e-33,3,0,3.0,3
18,30.1,1.1999999999999997,4.930380657631324e-32,3,0,3.0,3
19,30.1,1.3000000000000003,4.930380657631324e-32,2,0,3.0,3
20,30.1,0.9000000000000001,1.232595164407831e-32,3,2,3.0,3
21,30.1,1.8000000000000003,4.930380657631324e-32,2,2,3.0,3
22,30.1,0.7999999999999999,1.232595164407831e-32,3,3,3.0,3
23,30.1,0.5,0.0,3,1,3.0,3
24,30.1,1.5999999999999999,4.930380657631324e-32,2,3,3.0,3
25,30.1,1.0999999999999999,4.930380657631324e-32,2,1,3.0,3
26,30.1,0.7999999999999999,1.232595164407831e-32,2,3,3.0,3
27,30.1,0.5999999999999999,1.232595164407831e-32,3,4,3.0,3
28,30.1,0.7000000000000001,1.232595164407831e-32,3,0,3.0,3
29,30.1,0.5999999999999999,1.232595164407831e-32,3,3,3.0,3
30,30.1,0.9000000000000001,1.232595164407831e-32,2,3,3.0,3
31,30.1,0.9000000000000001,1.232595164407831e-32,3,6,3.0,3
32,30.1,1.0999999999999999,4.930380657631324e-32,3,3,3.0,3
33,30.1,0.7000000000000001,1.232595164407831e-32,3,3,3.0,3
34,30.1,1.0,0.0,3,2,3.0,3
35,30.1,1.3000000000000003,4.930380657631324e-32,2,0,3.0,3
36,30.1,1.5,0.0,3,0,3.0,3
37,30.1,0.7999999999999999,1.232595164407831e-32,3,2,3.0,3
38,30.1,1.5999999999999999,4.930380657631324e-32,2,1,3.0,3
39,30.1,0.7999999999999999,1.232595164407831e-32,2,3,3.0,3
40,30.1,0.7999999999999999,1.232595164407831e-32,3,3,3.0,3
41,30.1,1.3000000000000003,4.930380657631324e-32,3,3,3.0,3
42,30.1,1.0,0.0,3,2,3.0,3
43,30.1,1.0999999999999999,4.930380657631324e-32,3,2,3.0,3
44,30.1,1.4000000000000001,4.930380657631324e-32,3,0,3.0,3
45,30.1,0.0,0.0,3,2,3.0,3
46,30.1,1.5,0.0,2,0,3.0,3
47,30.1,0.7000000000000001,1.232595164407831e-32,3,3,3.0,3
48,30.1,0.0,0.0,2,1,3.0,3
49,30.1,1.5,0.0,3,1,3.0,3
