,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,99,0.8175381137835744,4.038131570914588e+29,3.997750255205442e+31,0,12,34,0.09193014766014662
1,1,99,0.8159162274975277,11267.381814565711,570453.0118324677,16,8,30,0.09193014766014662
2,2,99,0.8159162274975277,9392.757517289394,109884.51567448747,15,7,31,0.09193014766014662
3,3,99,0.8159162274975277,7.159978651660469e+18,7.088378865143833e+20,8,7,31,0.09193014766014662
4,4,99,0.8159162274975277,1821.9222874230582,101969.15908837001,6,6,25,0.09193014766014662
5,5,99,0.8095121869315424,379.04597409545386,31978.64365637004,13,13,34,0.09193014766014662
6,6,99,0.7384468710378416,415353310574.6107,41119946956088.61,6,8,29,0.09193014766014662
7,7,99,0.7384468710378416,1.1319689657517127e+22,1.1172420682973759e+24,9,7,27,0.09193014766014662
8,8,99,0.7384468710378416,1.910070469003932e+16,1.8909697643128673e+18,18,11,28,0.09193014766014662
9,9,99,0.7369010296421491,7.976817582352273e+21,7.897049406528694e+23,5,6,33,0.09193014766014662
10,10,99,0.7369010296421491,188634935758535.84,1.867485863865925e+16,8,6,28,0.09193014766014662
11,11,99,0.7369010296421491,1.9539132861650324e+22,1.9343741519692234e+24,12,15,28,0.09193014766014662
12,12,99,0.6063573514863102,6743795293.515431,667635732990.4745,3,5,32,0.09193014766014662
13,13,99,0.6063573514863102,7.976818843197225e+21,7.897050654765252e+23,9,9,35,0.09193014766014662
14,14,99,0.6063573514863102,709825490208.27,70272723528861.74,12,2,24,0.09193014766014662
15,15,99,0.6003771588557959,15.754335099384118,199.54212779898145,25,5,31,0.09193014766014662
16,16,99,0.5448035821414766,51769.80502146386,4727015.40843423,13,6,34,0.09193014766014662
17,17,99,0.5327379034792707,5.091157306726092e+16,5.039524876809096e+18,5,4,33,0.09193014766014662
18,18,99,0.5327379034792707,114298163747.9516,11315518204424.414,6,4,30,0.09193014766014662
19,19,99,0.5327379034792707,1.1280923609538444e+22,1.1168114373443059e+24,11,6,28,0.09193014766014662
20,20,99,0.5327379034792707,318946226.4753891,31575675906.87961,22,11,24,0.09193014766014662
21,21,99,0.5327379034792707,2294.94034840781,226665.0812648263,13,8,24,0.09193014766014662
22,22,99,0.437364334235838,25.74362163086469,2190.9025532948926,15,8,30,0.09193014766014662
23,23,99,0.437364334235838,2.5813523942173143e+22,1.7658339296222872e+24,8,11,32,0.09193014766014662
24,24,99,0.437364334235838,25333992.010673907,2507860749.497711,7,11,27,0.09193014766014662
25,25,99,0.437364334235838,598859063150.6637,59287046820798.66,13,5,31,0.09193014766014662
26,26,99,0.437364334235838,1.261120199654674,16.288107135431613,8,6,31,0.09193014766014662
27,27,99,0.437364334235838,2.4081562939971926e+17,2.384074731057221e+19,8,6,29,0.09193014766014662
28,28,99,0.437364334235838,238.00160571213104,23451.16368244199,8,6,31,0.09193014766014662
29,29,99,0.437364334235838,3841.4164323275904,375415.7745232476,8,4,27,0.09193014766014662
30,30,99,0.437364334235838,329.5648819496303,31609.28380322178,13,6,29,0.09193014766014662
31,31,99,0.437364334235838,6303.9970088172495,397342.35871537105,10,7,24,0.09193014766014662
32,32,99,0.437364334235838,2290.530989279561,226664.9903950782,14,4,27,0.09193014766014662
33,33,99,0.437364334235838,2.394043700033576e+22,2.3701032630332403e+24,15,7,28,0.09193014766014662
34,34,99,0.437364334235838,1.0101760763441108,4.599810669830453,5,7,30,0.09193014766014662
35,35,99,0.42860292914610726,659891113421.3146,65329219665022.99,10,13,35,0.09193014766014662
36,36,99,0.42860292914610726,7.976824550230884e+21,7.897056304707236e+23,3,6,29,0.09193014766014662
37,37,99,0.36592695559327054,1452633955.3852296,143810755020.19714,10,10,28,0.09193014766014662
38,38,99,0.36592695559327054,1.0692777418437396,12.552307403498126,6,11,30,0.09193014766014662
39,39,99,0.35787287420161906,7666102542.040726,758936339388.3517,9,8,27,0.09193014766014662
40,40,99,0.2835763027410277,197642.7682750338,19563387.555062205,7,10,29,0.09193014766014662
41,41,99,0.2835763027410277,155216342.92799157,15365844058.805584,8,3,34,0.09193014766014662
42,42,99,0.2835763027410277,637.6800773472407,63026.872692265155,6,7,30,0.09193014766014662
43,43,99,0.2835763027410277,155082.1408742735,15352861.260763258,11,6,29,0.09193014766014662
44,44,99,0.2835763027410277,4.8134222326498755,348.8470870159072,9,9,28,0.09193014766014662
45,45,99,0.2065182326239116,3093366.9213756905,306239752.0930823,14,5,32,0.09193014766014662
46,46,99,0.19061851717085707,672.9534331406742,63026.8709304524,9,5,32,0.09193014766014662
47,47,99,0.18554327744120114,1.1280924433345233e+22,1.1168115189011779e+24,11,5,29,0.09193014766014662
48,48,99,0.1155986658266267,0.6857585496267244,3.690560306722082,12,4,26,0.09193014766014662
49,49,99,0.1155986658266267,15.13244218161286,1412.3957340229526,18,10,29,0.09193014766014662
50,0,99,0.9149223588553269,4.2209351153265504e+22,2.0893628820866427e+24,0,5,26,0.14776314676169486
