,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
0,0,49,0.8175022955620637,1.1866190971337707,1.2589425538058285,0,6,14,0.10288551240308345
1,1,49,0.8175022955620637,1.25825358478183,5.04479085435111,4,6,15,0.10288551240308345
2,2,49,0.8175022955620637,1.1670768148852775,1.233646919559297,4,3,11,0.10288551240308345
3,3,49,0.8175022955620637,1.1794399006019414,2.4217056265363492,6,4,11,0.10288551240308345
4,4,49,0.8175022955620637,1.1298961916403032,1.286146006253785,9,4,17,0.10288551240308345
5,5,49,0.8175022955620637,1.1069593395310469,1.3683255455730396,4,6,12,0.10288551240308345
6,6,49,0.8175022955620637,1.175409528486635,2.314786496540866,6,4,13,0.10288551240308345
7,7,49,0.8175022955620637,1.1477490491623328,2.314786496540866,8,4,11,0.10288551240308345
8,8,49,0.8175022955620637,1.1310226946882527,2.883554983346732,9,3,14,0.10288551240308345
9,9,49,0.6302584928642126,1.1030557968395929,2.314786496540866,9,2,14,0.10288551240308345
10,10,49,0.6302584928642126,1.1346910221186806,2.4217056265363492,6,5,15,0.10288551240308345
11,11,49,0.12359172703932715,1.0673055301729706,3.964178425149549,4,7,13,0.10288551240308345
12,12,49,0.12359172703932715,0.9837378931916277,1.7420328426018723,8,6,11,0.10288551240308345
13,13,49,0.12359172703932715,0.9397772525249883,2.694325560652791,6,5,15,0.10288551240308345
14,14,49,0.12359172703932715,0.9251116240523004,2.554379253914355,6,3,13,0.10288551240308345
15,15,49,0.12359172703932715,0.8361891362988225,2.4217056265363492,3,4,11,0.10288551240308345
16,16,49,0.12359172703932715,0.9233272939794137,4.442918104741463,9,4,10,0.10288551240308345
17,17,49,0.12359172703932715,0.8160699425110545,3.659695087620872,7,4,12,0.10288551240308345
18,18,49,0.12359172703932715,0.7208934517825138,1.7420328426018723,9,4,16,0.10288551240308345
19,19,49,0.12359172703932715,0.7337827142456107,2.6865764648087405,3,2,12,0.10288551240308345
20,20,49,0.12359172703932715,0.7297580540794524,2.4987138695998037,3,5,11,0.10288551240308345
21,21,49,0.12359172703932715,0.8930939666291712,3.10397523113727,8,2,20,0.10288551240308345
22,22,49,0.12359172703932715,1.0419643046825087,5.760306965904644,1,6,20,0.10288551240308345
23,23,49,0.12359172703932715,1.7322987637558926,41.28209271724707,0,4,16,0.10288551240308345
24,24,49,0.12359172703932715,1.1421744662371005,6.67760093096811,3,6,18,0.10288551240308345
